event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
245525918,Pakenham (AUS) 14th Jul,R8 1400m Hcap,14-07-2025 07:30,84267149,7. Pops Pipe,0,6.51074400,4.0241,3.7399,6.51,5.24,1.00,1001.00,5563.81,4577.15,986.66
245586716,Pinjarra (AUS) 14th Jul,R3 2185m Trot M,14-07-2025 06:20,55176435,5. Quiggley,1,2.36000000,2.0750,1.6132,2.18,1.95,1.01,1.01,11216.88,5885.62,3719.98
245555145,Scone (AUS) 14th Jul,R1 1000m Mdn,14-07-2025 03:20,85813731,3. Champagne Tonight,1,1.90000000,1.6124,1.5809,1.90,1.50,1.94,1.94,32850.71,28859.92,3990.79
245525862,Pakenham (AUS) 14th Jul,R1 1000m 2yo,14-07-2025 04:00,85854825,7. Head Capitalist,0,58.53274631,25.1153,19.9886,80.00,44.00,1.00,1001.00,908.45,698.20,210.25
245584582,Menangle (AUS) 14th Jul,R1 2300m Trot M,14-07-2025 04:15,69175008,1. Kennys Son,0,7.70042787,8.1872,5.7340,8.00,8.00,130.00,14.00,1240.19,515.57,431.50
245586714,Pinjarra (AUS) 14th Jul,R2 1177m Pace M,14-07-2025 05:45,64330206,2. Goggins,0,5.70000000,4.9496,4.8589,6.00,4.40,1.00,1001.00,3656.42,3378.37,278.05
245586728,Pinjarra (AUS) 14th Jul,R9 1177m Pace M,14-07-2025 09:51,58423739,5. Dee Jays Big Boy,0,5.14085632,4.6496,3.8027,5.10,4.10,1.00,1001.00,2696.81,1814.87,505.10
245586716,Pinjarra (AUS) 14th Jul,R3 2185m Trot M,14-07-2025 06:20,60736639,2. Tilthesunsets,0,131.34711191,84.3495,40.3155,110.00,50.00,1.00,1001.00,98.67,34.76,43.10
245584640,Redcliffe (AUS) 14th Jul,R1 1780m Pace M,14-07-2025 09:03,52628455,4. Candykane,0,29.00000000,26.9979,16.5213,29.00,29.00,1.00,1001.00,196.81,92.44,53.78
245586656,Globe Derby (AUS) 14th Jul,R3 2230m Trot S,14-07-2025 05:38,76407688,1. Quartararo,0,452.34429906,212.9598,161.5009,460.00,430.00,520.00,520.00,21.76,13.80,7.96
245584632,Hamilton (AUS) 14th Jul,R4 1660m Pace M,14-07-2025 05:53,35608396,2. Wow You Can Dance,0,441.36348181,367.4802,145.4905,430.00,250.00,120.00,120.00,33.43,8.24,17.83
245584626,Hamilton (AUS) 14th Jul,R1 2160m Trot M,14-07-2025 04:07,83677802,5. Shonee,1,3.35000000,2.9008,1.8965,2.94,2.70,1.00,1001.00,3698.59,1606.10,1417.33
245586664,Globe Derby (AUS) 14th Jul,R7 1800m Pace M,14-07-2025 08:03,67909058,3. Tommy Mach,0,2.28466855,2.3532,1.7538,1.00,1001.00,1.00,1001.00,4816.94,1794.96,2036.58
245584640,Redcliffe (AUS) 14th Jul,R1 1780m Pace M,14-07-2025 09:03,4424599,9. April In Paris,0,10.96900712,11.4868,9.8242,12.50,10.50,1.00,1001.00,997.35,748.54,131.16
245586666,Globe Derby (AUS) 14th Jul,R8 2230m Pace M,14-07-2025 08:32,57080352,6. Two Way Wonder,0,739.52320533,329.5858,199.1014,470.00,470.00,1.00,1001.00,19.72,8.75,3.57
245584597,Menangle (AUS) 14th Jul,R6 1609m Pace M,14-07-2025 07:15,75026644,4. Lets Turn It On,0,14.04547248,13.3105,11.6384,19.50,15.00,1.00,1001.00,627.49,515.88,111.61
245556140,Mount Isa (AUS) 14th Jul,R3 1450m Hcap,14-07-2025 04:55,49144124,6. Pennypacker,0,4.50505336,4.3066,3.7753,4.60,4.30,1.00,1001.00,6185.51,4833.40,545.42
245525918,Pakenham (AUS) 14th Jul,R8 1400m Hcap,14-07-2025 07:30,78780956,11. Teresprit,0,45.21350000,23.8067,20.7481,49.73,27.13,1.00,1001.00,3244.82,2755.17,489.65
245525894,Pakenham (AUS) 14th Jul,R5 1600m Hcap,14-07-2025 06:00,85854858,3. King Of Cordoba,0,23.57641658,22.2392,12.0875,25.00,17.00,1.00,1001.00,3778.48,1730.02,608.27
245586664,Globe Derby (AUS) 14th Jul,R7 1800m Pace M,14-07-2025 08:03,85827747,9. Stormy Gale,0,33.03129281,22.9648,15.1321,30.00,30.00,1.00,1001.00,294.79,153.63,61.01
245586658,Globe Derby (AUS) 14th Jul,R4 1800m Pace M,14-07-2025 06:13,77740084,8. Blazin Bella,0,62.85577773,64.5873,50.6982,140.00,46.00,1.00,1001.00,163.07,115.17,20.13
245556155,Mount Isa (AUS) 14th Jul,R6 900m CL1,14-07-2025 06:45,72379083,9. Bitterblue,0,75.00000000,29.5821,23.0107,85.00,46.00,150.00,150.00,837.63,620.22,217.41
245556150,Mount Isa (AUS) 14th Jul,R5 1200m Hcap,14-07-2025 06:10,82343863,9. Tengun Annie,0,25.04908036,25.6397,20.1371,34.00,21.00,1.00,1001.00,2616.88,1981.31,227.63
245586658,Globe Derby (AUS) 14th Jul,R4 1800m Pace M,14-07-2025 06:13,79893299,4. Our Wild Irish Rose,0,6.20000000,8.6725,6.2485,11.00,7.20,1.00,1001.00,1521.58,946.55,198.10
245584648,Redcliffe (AUS) 14th Jul,R5 1780m Pace M,14-07-2025 11:09,25440880,9. Todays Hero,0,78.19154020,91.5697,49.7140,280.00,60.00,1.00,1001.00,122.98,60.89,25.65
245584628,Hamilton (AUS) 14th Jul,R2 2160m Trot M,14-07-2025 04:42,61792606,4. Mattyo,0,5.30000000,5.8580,3.8788,5.80,5.50,1.00,1001.00,1118.65,548.40,570.25
245586712,Pinjarra (AUS) 14th Jul,R1 1684m Pace M,14-07-2025 05:09,85827733,2. Trixie Dora,1,4.25157640,5.3393,3.7940,6.00,3.45,1.00,1001.00,6221.52,3862.43,1796.23
245525910,Pakenham (AUS) 14th Jul,R7 2200m Hcap,14-07-2025 07:00,79195789,8. Nothingelsematters,0,30.99877472,23.2067,19.7597,46.00,30.00,1.00,1001.00,1868.57,1534.11,334.46
245586660,Globe Derby (AUS) 14th Jul,R5 1800m Pace M,14-07-2025 06:48,20298808,1. Dont Tell Alice,1,10.00000000,8.4024,3.1080,7.60,7.60,1.00,1001.00,1769.19,414.62,1200.87
245584597,Menangle (AUS) 14th Jul,R6 1609m Pace M,14-07-2025 07:15,73657420,1. Blisses Best,0,35.39376927,21.5088,20.1986,36.00,27.00,85.00,85.00,306.82,238.12,68.70
245555150,Scone (AUS) 14th Jul,R2 1200m Mdn,14-07-2025 03:55,63161105,7. Holy Song,0,30.00000000,20.3502,18.3321,34.00,18.00,1.00,1001.00,1884.53,1663.86,220.67
245584597,Menangle (AUS) 14th Jul,R6 1609m Pace M,14-07-2025 07:15,45759607,8. Nothingbutwaves,0,200.00000000,126.1275,100.5685,260.00,140.00,1.00,1001.00,51.80,40.63,11.17
245584648,Redcliffe (AUS) 14th Jul,R5 1780m Pace M,14-07-2025 11:09,26325171,2. Lets Get Shorty,1,18.50000000,19.3016,4.5465,22.00,22.00,1.00,1001.00,1241.43,223.85,885.94
245525918,Pakenham (AUS) 14th Jul,R8 1400m Hcap,14-07-2025 07:30,85854869,14. Tuppence Hapenny,0,56.81891641,24.4642,19.6107,72.34,49.73,1.00,1001.00,1169.33,899.16,270.17
245586660,Globe Derby (AUS) 14th Jul,R5 1800m Pace M,14-07-2025 06:48,66805393,10. Love To Deal,0,620.00000000,459.8826,176.5223,520.00,320.00,1.00,1001.00,27.53,8.89,8.07
245586726,Pinjarra (AUS) 14th Jul,R8 2185m Pace M,14-07-2025 09:16,62433949,8. Soho Honey Rider,0,2.70000000,2.4824,2.2742,2.72,2.38,1.00,1001.00,13092.63,10472.82,1344.82
245584640,Redcliffe (AUS) 14th Jul,R1 1780m Pace M,14-07-2025 09:03,50747201,5. Khulan Kid,0,7.59302892,7.6021,6.2771,8.80,7.40,500.00,500.00,1461.43,765.43,417.22
245584652,Redcliffe (AUS) 14th Jul,R7 1780m Pace M,14-07-2025 12:05,38544626,6. The Blue Wren,0,6.00000000,5.8228,6.8846,6.40,5.90,1.00,1001.00,71.54,1594.09,401.36
245555165,Scone (AUS) 14th Jul,R5 1600m CL1,14-07-2025 05:50,82895301,13. Pathelia,0,28.84325469,24.1835,12.8202,26.00,24.00,1.00,1001.00,978.70,456.53,192.96
245525862,Pakenham (AUS) 14th Jul,R1 1000m 2yo,14-07-2025 04:00,85854820,1. High Ambitions,0,65.00000000,42.2713,35.8685,130.00,70.00,1.00,1001.00,409.02,332.32,76.70
245584597,Menangle (AUS) 14th Jul,R6 1609m Pace M,14-07-2025 07:15,45737774,5. Wills Way,0,123.77442818,48.0433,38.4873,120.00,60.00,1.00,1001.00,73.17,56.74,16.43
245586728,Pinjarra (AUS) 14th Jul,R9 1177m Pace M,14-07-2025 09:51,28036664,7. Bealawyer,1,5.68262964,4.9818,3.1761,5.40,4.50,1.00,1001.00,3435.42,1708.14,1107.23
245525910,Pakenham (AUS) 14th Jul,R7 2200m Hcap,14-07-2025 07:00,85854866,15. Odyssey Arrow,0,1000.00000000,660.0909,448.3173,1000.00,300.00,1.00,1001.00,55.74,37.83,6.44
245584644,Redcliffe (AUS) 14th Jul,R3 1780m Pace M,14-07-2025 10:10,44536900,9. La Sabina,0,2.77137537,2.8633,2.0777,2.94,2.68,2.96,2.44,12919.37,6288.62,2639.21
245584644,Redcliffe (AUS) 14th Jul,R3 1780m Pace M,14-07-2025 10:10,53126768,3. Absolutely Stoked,1,3.52946413,3.6173,2.5457,3.00,2.92,2.78,2.78,5349.70,2724.09,1925.24
245584644,Redcliffe (AUS) 14th Jul,R3 1780m Pace M,14-07-2025 10:10,42170276,2. Dashndot,0,16.00000000,14.8373,11.1422,1.00,1001.00,1.00,1001.00,458.92,255.58,116.25
245525918,Pakenham (AUS) 14th Jul,R8 1400m Hcap,14-07-2025 07:30,39065201,4. Marlions Dream,0,7.23416000,5.8953,5.3320,8.86,7.05,1.00,1001.00,4736.35,4059.48,676.87
245525870,Pakenham (AUS) 14th Jul,R2 1100m Mdn,14-07-2025 04:30,72240380,6. Missile Girl,0,6.49086473,4.6372,4.1904,6.80,5.30,1.00,1001.00,5246.45,4318.38,928.07
245584630,Hamilton (AUS) 14th Jul,R3 1660m Pace M,14-07-2025 05:17,12456447,7. Creative Lad,0,29.48031024,23.6188,21.4578,38.00,27.00,1.00,1001.00,297.66,249.79,47.87
245555165,Scone (AUS) 14th Jul,R5 1600m CL1,14-07-2025 05:50,40785691,8. Newfangled Jill,0,68.97508989,44.5291,37.6525,80.00,46.00,1.00,1001.00,491.34,398.71,92.63
245555180,Scone (AUS) 14th Jul,R8 1000m Hcap,14-07-2025 07:40,51454840,14. War Wings,0,168.02668514,76.6372,62.4780,180.00,80.00,1.00,1001.00,396.80,300.04,96.76
245584652,Redcliffe (AUS) 14th Jul,R7 1780m Pace M,14-07-2025 12:05,11767183,4. Lazy Blaze,0,85.00000000,38.2108,80.3483,140.00,60.00,1.00,1001.00,51.89,390.17,139.32
245584630,Hamilton (AUS) 14th Jul,R3 1660m Pace M,14-07-2025 05:17,17654354,3. Hilldale Sunrise,0,30.00000000,15.0785,12.8283,24.00,21.00,1.00,1001.00,366.75,291.61,75.14
245555160,Scone (AUS) 14th Jul,R4 1600m Hcap,14-07-2025 05:10,38014684,6. Croatian Madame,0,44.00000000,44.9224,26.2329,60.00,36.00,50.00,50.00,422.59,191.41,109.95
245525918,Pakenham (AUS) 14th Jul,R8 1400m Hcap,14-07-2025 07:30,85854868,10. Savvyrocker,0,13.65320663,6.9619,5.7946,18.09,13.56,1.00,1001.00,4495.73,3556.47,939.26
245584636,Hamilton (AUS) 14th Jul,R6 1660m Pace M,14-07-2025 07:08,85815278,5. Harbour Springs,0,13.32753376,12.6884,9.7941,13.00,10.50,1.00,1001.00,583.35,369.95,100.23
245584640,Redcliffe (AUS) 14th Jul,R1 1780m Pace M,14-07-2025 09:03,70706494,1. Amillionchances,0,3.64758384,3.5643,4.9626,3.70,3.10,270.00,100.00,3295.54,2203.35,466.39
245584628,Hamilton (AUS) 14th Jul,R2 2160m Trot M,14-07-2025 04:42,85815273,3. Castles In The Sky,0,191.16574214,177.3376,57.7467,230.00,85.00,1.00,1001.00,121.52,38.71,82.81
245586718,Pinjarra (AUS) 14th Jul,R4 2185m Pace M,14-07-2025 06:55,85827738,12. Duncan Twentytwo,0,5.60000000,6.1156,4.7618,5.90,5.90,1.00,1001.00,1354.15,878.22,243.27
245556160,Mount Isa (AUS) 14th Jul,R7 1000m CL3,14-07-2025 07:20,57883954,5. Toronado Rouge,0,40.82156795,19.2953,16.9017,42.00,26.00,46.00,46.00,879.33,692.59,186.74
245556155,Mount Isa (AUS) 14th Jul,R6 900m CL1,14-07-2025 06:45,56907400,8. Haveabeerforted,0,71.28121297,30.0924,24.7582,75.00,40.00,1.00,1001.00,1056.09,858.20,197.89
245525910,Pakenham (AUS) 14th Jul,R7 2200m Hcap,14-07-2025 07:00,61631181,1. All So Clear,1,4.18208767,2.8026,2.4178,6.00,3.95,3.90,2.96,27644.09,20735.09,6909.00
245525870,Pakenham (AUS) 14th Jul,R2 1100m Mdn,14-07-2025 04:30,85744938,8. Prosperous Star,0,462.89186059,239.7662,195.5838,600.00,200.00,1.00,1001.00,211.03,171.98,39.05
245584600,Menangle (AUS) 14th Jul,R7 1609m Pace M,14-07-2025 07:55,40346334,4. Jalaneel,0,9.60000000,6.9057,12.7219,10.50,9.40,870.00,870.00,912.66,575.84,336.82
245584654,Redcliffe (AUS) 14th Jul,R8 1780m Pace M,14-07-2025 12:33,85780669,9. Saychelles,0,49.75832337,50.2882,76.7067,60.00,32.00,1.00,1001.00,4.04,223.54,88.15
245584632,Hamilton (AUS) 14th Jul,R4 1660m Pace M,14-07-2025 05:53,85815275,8. Keayang Seaside,0,2.32000000,2.0243,1.7174,2.12,1.94,1.00,1001.00,7001.33,3797.88,1634.54
245586670,Globe Derby (AUS) 14th Jul,R10 2230m Trot M,14-07-2025 09:26,28658206,4. Horse Of Course,0,5.90000000,5.3110,5.3058,1.00,1001.00,1.00,1001.00,843.81,689.31,154.50
245586716,Pinjarra (AUS) 14th Jul,R3 2185m Trot M,14-07-2025 06:20,68685978,4. Mriya Dream,0,9.20000000,11.6470,9.6165,14.00,9.00,1.00,1001.00,986.77,737.58,111.52
245525894,Pakenham (AUS) 14th Jul,R5 1600m Hcap,14-07-2025 06:00,69161543,10. Inspired Choice,0,70.44389468,48.1239,31.9618,65.00,40.00,1.00,1001.00,562.25,296.54,97.67
245586720,Pinjarra (AUS) 14th Jul,R5 2185m Pace M,14-07-2025 07:33,51060011,9. Sunpatra,0,95.00000000,110.8710,43.9732,120.00,95.00,100.00,100.00,91.66,19.37,36.10
245556130,Mount Isa (AUS) 14th Jul,R1 1200m Mdn,14-07-2025 03:40,81562009,3. Outcast Soldier,0,5.70000000,6.6909,4.1928,6.80,5.90,1.00,1001.00,3229.69,1724.29,598.20
245525886,Pakenham (AUS) 14th Jul,R4 1600m Mdn,14-07-2025 05:30,85854849,7. Okay Zoomer,0,4.98246774,5.1689,4.1869,6.20,4.90,1.00,1001.00,6085.11,4222.68,851.32
245584636,Hamilton (AUS) 14th Jul,R6 1660m Pace M,14-07-2025 07:08,85815279,11. Treacherous Saint,0,714.80313421,361.1939,179.9382,360.00,350.00,1.00,1001.00,9.40,3.34,1.84
245584652,Redcliffe (AUS) 14th Jul,R7 1780m Pace M,14-07-2025 12:05,70635383,3. Melton Schleger,0,15.46738485,7.9077,15.1212,17.50,14.50,1.00,1001.00,87.40,928.32,373.71
245525910,Pakenham (AUS) 14th Jul,R7 2200m Hcap,14-07-2025 07:00,57113321,4. Wealdstone,0,13.89154345,7.8167,6.9655,16.00,9.60,1.00,1001.00,3571.80,2952.19,619.61
