event_id,menu_hint,event_name,event_dt,selection_id,selection_name,win_lose,bsp,ppwap,morningwap,ppmax,ppmin,ipmax,ipmin,morningtradedvol,pptradedvol,iptradedvol
245586663,Globe Derby (AUS) 14th Jul,To Be Placed,14-07-2025 07:23,59423602,3. Lochinvar Ruler,0,1.20000000,1.0000,1.2101,1.00,1001.00,1.00,1001.00,467.06,0.00,0.00
245586661,Globe Derby (AUS) 14th Jul,To Be Placed,14-07-2025 06:48,46676024,2. Aces Shadow,0,1.35000000,1.0000,1.3038,1.00,1001.00,1.00,1001.00,123.35,0.00,0.00
245584643,Redcliffe (AUS) 14th Jul,To Be Placed,14-07-2025 09:38,41420435,2. Aunty Frances,0,23.00000000,1.0000,12.0641,1.00,1001.00,1.00,1001.00,29.91,0.00,0.00
245586725,Pinjarra (AUS) 14th Jul,To Be Placed,14-07-2025 08:46,85555963,5. Stella Deliziosa,0,27.42924370,1.0000,15.5987,1.00,1001.00,1.00,1001.00,53.22,0.00,0.00
245586717,Pinjarra (AUS) 14th Jul,To Be Placed,14-07-2025 06:20,12396553,10. Dark Secret,0,3.80000000,1.0000,1.5919,1.00,1001.00,1.00,1001.00,35.88,0.00,0.00
245586723,Pinjarra (AUS) 14th Jul,To Be Placed,14-07-2025 08:11,85827739,12. Barbados,0,3.77109331,1.0000,1.9536,1.00,1001.00,1.00,1001.00,389.40,0.00,0.00
245525919,Pakenham (AUS) 14th Jul,To Be Placed,14-07-2025 07:30,56127222,5. Rich Lover,0,2.02310708,1.0000,1.7855,1.00,1001.00,1.00,1001.00,1621.42,0.00,0.00
245525895,Pakenham (AUS) 14th Jul,To Be Placed,14-07-2025 06:00,71587468,2. Big Kate,0,5.64271223,1.0000,4.9549,1.00,1001.00,1.00,1001.00,697.72,0.00,0.00
245555181,Scone (AUS) 14th Jul,To Be Placed,14-07-2025 07:40,770163,9. Desirous,0,7.00000000,1.0000,1.6390,1.00,1001.00,1.00,1001.00,96.39,0.00,0.00
245584598,Menangle (AUS) 14th Jul,To Be Placed,14-07-2025 07:15,45759607,8. Nothingbutwaves,0,14.50000000,1.0000,5.4584,1.00,1001.00,1.00,1001.00,18.75,0.00,0.00
245586721,Pinjarra (AUS) 14th Jul,To Be Placed,14-07-2025 07:33,72681094,10. Rocknroll Nugget,0,9.70789275,1.0000,3.1811,1.00,1001.00,1.00,1001.00,16.80,0.00,0.00
245584643,Redcliffe (AUS) 14th Jul,To Be Placed,14-07-2025 09:38,63324750,1. Feelin Flirty,0,11.00000000,1.0000,9.3850,1.00,1001.00,1.00,1001.00,53.46,0.00,0.00
245556146,Mount Isa (AUS) 14th Jul,To Be Placed,14-07-2025 05:35,31994394,4. Viburnum,1,2.84252067,1.0000,2.5652,1.00,1001.00,1.00,1001.00,641.21,0.00,0.00
245556141,Mount Isa (AUS) 14th Jul,To Be Placed,14-07-2025 04:55,3680179,1. Breaking Ground,0,23.00000000,1.0000,9.7800,1.00,1001.00,1.00,1001.00,127.88,0.00,0.00
245586667,Globe Derby (AUS) 14th Jul,To Be Placed,14-07-2025 08:32,57926066,7. Big Black Betty,0,4.60000000,1.0000,2.4679,1.00,1001.00,1.00,1001.00,29.98,0.00,0.00
245586661,Globe Derby (AUS) 14th Jul,To Be Placed,14-07-2025 06:48,8955787,6. Barney Fella,0,19.00000000,1.0000,5.6231,1.00,1001.00,1.00,1001.00,29.14,0.00,0.00
245584635,Hamilton (AUS) 14th Jul,To Be Placed,14-07-2025 06:33,39141834,2. Linxx,0,100.00000000,1.0000,11.4045,1.00,1001.00,1.00,1001.00,13.94,0.00,0.00
245584649,Redcliffe (AUS) 14th Jul,To Be Placed,14-07-2025 11:09,26325171,2. Lets Get Shorty,1,4.30000000,1.0000,3.2568,1.00,1001.00,1.00,1001.00,40.92,0.00,0.00
245584601,Menangle (AUS) 14th Jul,To Be Placed,14-07-2025 07:55,57882762,5. Tukaha,0,4.30000000,1.0000,3.3689,1.00,1001.00,1.00,1001.00,517.83,0.00,0.00
245584651,Redcliffe (AUS) 14th Jul,To Be Placed,14-07-2025 11:37,83917603,2. Rainbow Gambler,0,36.00000000,1.0000,14.5206,1.00,1001.00,1.00,1001.00,30.29,0.00,0.00
245525911,Pakenham (AUS) 14th Jul,To Be Placed,14-07-2025 07:00,61631181,1. All So Clear,1,1.74493965,1.0000,1.6951,1.00,1001.00,1.00,1001.00,3732.96,0.00,0.00
245584655,Redcliffe (AUS) 14th Jul,To Be Placed,14-07-2025 12:33,73657482,7. French Bubbles,1,1.59000000,1.0000,1.0000,1.00,1001.00,1.00,1001.00,0.00,0.00,0.00
245584583,Menangle (AUS) 14th Jul,To Be Placed,14-07-2025 04:15,85827728,2. Donnie Gal,1,13.03615731,1.0000,4.4207,1.00,1001.00,1.00,1001.00,22.54,0.00,0.00
245525919,Pakenham (AUS) 14th Jul,To Be Placed,14-07-2025 07:30,66579854,8. Happy Link,0,2.70515620,1.0000,2.0337,1.00,1001.00,1.00,1001.00,1590.56,0.00,0.00
245525887,Pakenham (AUS) 14th Jul,To Be Placed,14-07-2025 05:30,85854849,7. Okay Zoomer,0,1.94748732,1.0000,1.8584,1.00,1001.00,1.00,1001.00,2507.68,0.00,0.00
245584649,Redcliffe (AUS) 14th Jul,To Be Placed,14-07-2025 11:09,35672134,8. Prospectus,1,2.28000000,1.0000,1.9038,1.00,1001.00,1.00,1001.00,118.08,0.00,0.00
